DL% UL%  Dled  Uled  Xfers  Live Total     Current  Left    Speed

--  --      0     0    12    12  --:--:-- --:--:-- --:--:--     0      
  3 --   890M     0    12    12   1:04:35  0:02:20  1:02:29 7224k      
  3 --   894M     0    12    12   1:02:17  0:02:21  1:00:14 7492k      
  3 --   898M     0    12    12   1:04:13  0:02:21  1:02:06 7266k      
  3 --   903M     0    12    12   1:02:39  0:02:22  1:00:35 7447k      
  3 --   907M     0    12    12   1:01:17  0:02:22  0:59:15 7612k      
  3 --   911M     0    12    12   1:00:05  0:02:23  0:58:05 7764k      
  3 --   916M     0    12    12   0:58:57  0:02:23  0:56:59 7913k      
  3 --   919M     0    12    12   0:58:01  0:02:24  0:56:04 8041k      
  3 --   923M     0    12    12   0:58:06  0:02:24  0:56:08 8031k      
  3 --   928M     0    12    12   0:55:50  0:02:25  0:53:56 8356k      
  3 --   933M     0    12    12   0:55:33  0:02:25  0:53:39 8399k      
  3 --   938M     0    12    12   0:53:31  0:02:26  0:51:41 8716k      
  3 --   944M     0    12    12   0:51:28  0:02:26  0:49:42 9064k      
  3 --   950M     0    12    12   0:49:16  0:02:27  0:47:34 9468k      
  3 --   955M     0    12    12   0:48:15  0:02:27  0:46:34 9668k      
  3 --   961M     0    12    12   0:46:06  0:02:28  0:44:29  9.8M      
  3 --   967M     0    12    12   0:43:58  0:02:28  0:42:24 10.3M      
  3 --   973M     0    12    12   0:42:16  0:02:29  0:40:46 10.7M      
  3 --   978M     0    12    12   0:42:06  0:02:29  0:40:36 10.8M      
  3 --   985M     0    12    12   0:40:21  0:02:30  0:38:54 11.2M      
  3 --   991M     0    12    12   0:38:48  0:02:30  0:37:23 11.7M      
  3 --   996M     0    12    12   0:39:42  0:02:31  0:38:16 11.4M      
  3 --  1002M     0    12    12   0:39:20  0:02:31  0:37:53 11.5M      
  3 --  1009M     0    12    12   0:38:38  0:02:32  0:37:12 11.7M      
  3 --  1015M     0    12    12   0:38:19  0:02:32  0:36:54 11.8M      
  3 --  1020M     0    12    12   0:38:48  0:02:33  0:37:21 11.7M      
  3 --  1027M     0    12    12   0:38:06  0:02:33  0:36:40 11.9M      
  3 --  1034M     0    12    12   0:37:10  0:02:34  0:35:45 12.2M      
  3 --  1039M     0    12    12   0:38:12  0:02:34  0:36:45 11.9M      
  3 --  1046M     0    12    12   0:37:52  0:02:35  0:36:25 12.0M      
  3 --  1053M     0    12    12   0:37:07  0:02:36  0:35:41 12.2M      
  3 --  1059M     0    12    12   0:37:03  0:02:36  0:35:37 12.2M      
  3 --  1066M     0    12    12   0:36:32  0:02:37  0:35:07 12.4M      
  3 --  1073M     0    12    12   0:36:19  0:02:37  0:34:54 12.5M      
  3 --  1080M     0    12    12   0:35:12  0:02:38  0:33:48 12.9M      
  3 --  1088M     0    12    12   0:34:42  0:02:38  0:33:19 13.1M      
  4 --  1094M     0    12    12   0:34:22  0:02:39  0:32:59 13.2M      
  4 --  1102M     0    12    12   0:33:10  0:02:39  0:31:49 13.7M      
  4 --  1110M     0    12    12   0:32:24  0:02:40  0:31:05 14.0M      
  4 --  1117M     0    12    12   0:31:54  0:02:40  0:30:36 14.2M      
  4 --  1126M     0    12    12   0:30:48  0:02:41  0:29:32 14.7M      
  4 --  1134M     0    12    12   0:30:43  0:02:41  0:29:26 14.8M      
  4 --  1140M     0    12    12   0:30:44  0:02:42  0:29:27 14.8M      
  4 --  1147M     0    12    12   0:30:44  0:02:42  0:29:26 14.8M      
  4 --  1154M     0    12    12   0:31:08  0:02:43  0:29:49 14.6M      
  4 --  1162M     0    12    12   0:30:35  0:02:43  0:29:17 14.8M      
  4 --  1169M     0    12    12   0:31:01  0:02:44  0:29:42 14.6M      
  4 --  1177M     0    12    12   0:31:06  0:02:44  0:29:45 14.6M      
  4 --  1185M     0    12    12   0:30:57  0:02:45  0:29:36 14.7M      
  4 --  1194M     0    12    12   0:30:42  0:02:45  0:29:22 14.8M      
  4 --  1203M     0    12    12   0:30:04  0:02:46  0:28:44 15.1M      
  4 --  1210M     0    12    12   0:30:00  0:02:46  0:28:40 15.1M      
  4 --  1217M     0    12    12   0:29:49  0:02:47  0:28:29 15.2M      
  4 --  1225M     0    12    12   0:29:11  0:02:47  0:27:53 15.6M      
  4 --  1234M     0    12    12   0:29:10  0:02:48  0:27:51 15.6M      
  4 --  1243M     0    12    12   0:28:06  0:02:48  0:26:49 16.2M      
  4 --  1251M     0    12    12   0:28:23  0:02:49  0:27:05 16.0M      
  4 --  1259M     0    12    12   0:27:58  0:02:49  0:26:41 16.2M      
  4 --  1267M     0    12    12   0:28:24  0:02:50  0:27:05 16.0M      
  4 --  1276M     0    12    12   0:28:29  0:02:50  0:27:10 15.9M      
  4 --  1284M     0    12    12   0:27:48  0:02:51  0:26:29 16.3M      
  4 --  1290M     0    12    12   0:28:40  0:02:51  0:27:19 15.8M      
  4 --  1292M     0    12    12   0:31:23  0:02:52  0:29:54 14.5M      
  4 --  1295M     0    12    12   0:34:30  0:02:52  0:32:52 13.2M      
  4 --  1298M     0    12    12   0:38:07  0:02:53  0:36:19 11.9M      
  4 --  1305M     0    12    12   0:38:29  0:02:53  0:36:39 11.8M      
  4 --  1313M     0    12    12   0:39:16  0:02:54  0:37:23 11.6M      
  4 --  1322M     0    12    12   0:38:45  0:02:54  0:36:53 11.7M      
  4 --  1330M     0    12    12   0:39:19  0:02:55  0:37:25 11.5M      
  4 --  1338M     0    12    12   0:39:31  0:02:55  0:37:35 11.5M      
  4 --  1346M     0    12    12   0:37:39  0:02:56  0:35:47 12.1M      
  4 --  1354M     0    12    12   0:34:07  0:02:56  0:32:25 13.3M      
  4 --  1359M     0    12    12   0:32:37  0:02:57  0:31:00 13.9M      
  5 --  1367M     0    12    12   0:30:27  0:02:57  0:28:55 14.9M      
  5 --  1375M     0    12    12   0:29:55  0:02:58  0:28:25 15.2M      
  5 --  1381M     0    12    12   0:30:32  0:02:58  0:29:00 14.9M      
  5 --  1388M     0    12    12   0:31:41  0:02:59  0:30:05 14.3M      
  5 --  1394M     0    12    12   0:32:43  0:02:59  0:31:03 13.9M      
  5 --  1399M     0    12    12   0:34:04  0:03:00  0:32:19 13.3M      
  5 --  1406M     0    12    12   0:34:33  0:03:00  0:32:46 13.1M      
  5 --  1412M     0    12    12   0:35:50  0:03:01  0:33:59 12.7M      
